date,price
2025-06-14 11:06:12,1399.0
2025-06-15 11:31:35,1399.0
2025-06-16 03:33:47,1399.0
2025-06-29 18:24:52,1599.0
2025-07-10 15:06:26,1382.0
2025-07-11 06:22:33,1299.0
2025-07-18 12:17:31,1380.0
2025-07-18 16:11:28,1299.0
2025-07-19 16:37:35,1599.0
2025-07-22 07:01:57,1499.0
2025-07-22 09:52:55,1599.0
2025-07-22 19:24:22,1499.0
2025-07-23 06:32:16,1399.0
2025-07-29 06:06:22,1599.0
2025-07-29 16:33:58,1499.0
2025-07-30 16:03:57,1375.0
2025-07-30 18:50:48,1299.0
2025-08-06 12:59:36,1899.0
2025-08-06 14:14:04,1299.0
2025-08-09 00:32:37,1599.0
2025-08-09 04:41:34,1299.0
2025-08-10 08:23:36,1599.0
2025-08-13 02:07:34,1399.0
2025-08-18 03:54:10,1599.0
2025-08-19 03:10:17,1399.0
2025-08-20 01:44:50,1599.0
2025-09-08 05:03:42,1299.0
2025-09-09 12:02:01,1279.0
2025-09-09 13:58:52,1299.0
2025-09-18 13:50:27,1199.0
2025-09-18 22:29:37,1290.0
2025-09-19 17:16:48,1299.0
2025-09-19 18:57:36,1290.0
2025-09-20 05:16:06,1299.0
